,year,month,ticker,list_date,company_name,icb_industry,icb_supersector,country_of_incorporation,market_cap,eps,p/e,p/s,datetime
115946,2016,12,EMIS,2010-03-29,EMIS GROUP PLC                     ,Software & Computer Services,Computer Services,United Kingdom,610.6384144,0.39,24.85300831908832,2.523809523809524,2016-12-01
115962,2016,12,ERGO,2014-07-15,ERGOMED PLC                        ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,61.76982915,0.02,75.32905993902439,0.951219512195122,2016-12-01
115999,2016,12,FARN,2015-11-17,FARON PHARMACEUTICALS OY           ,Pharmaceuticals & Biotechnology,Biotechnology,Finland,69.7260156,-0.42,-6.385166263736264,0.03653846153846154,2016-12-01
116002,2016,12,FDM,2014-06-20,FDM GROUP PLC                      ,Software & Computer Services,Computer Services,United Kingdom,607.4739089,0.24,23.43649339891975,1.75,2016-12-01
116074,2016,12,GAMA,2014-10-10,GAMMA COMMUNICATIONS PLC           ,Mobile Telecommunications,Mobile Telecommunications,United Kingdom,428.17235530000005,0.19,24.49498600114417,2.3260869565217392,2016-12-01
116121,2016,12,GOOD,2012-07-30,GOOD ENERGY GROUP PLC              ,Electricity,Alternative Electricity,United Kingdom,45.14791708,0.13,21.705729365384613,5.625,2016-12-01
116141,2016,12,GHT,1995-02-27,GRESHAM TECHNOLOGIES PLC           ,Software & Computer Services,Software,United Kingdom,82.38916651,0.05,24.593781047761198,0.2537313432835821,2016-12-01
116217,2016,12,HZD,2014-03-27,HORIZON DISCOVERY GROUP PLC        ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,137.1539765,-0.11,-13.124782440191385,0.25263157894736843,2016-12-01
116231,2016,12,HVO,2012-05-03,HVIVO PLC                          ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,130.4287986,-0.23,-7.270278628762541,0.2564102564102564,2016-12-01
116255,2016,12,IMM,2006-02-17,IMMUPHARMA                         ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,64.8320114,-0.05,-10.373121824,0.00128,2016-12-01
116270,2016,12,IND,2003-12-15,INDIGOVISION GROUP                 ,Software & Computer Services,Computer Services,United Kingdom,12.56099092,-0.34,-4.854676864806369,6.04467805519054,2016-12-01
116278,2016,12,ING,2007-02-28,INGENTA PLC                        ,Software & Computer Services,Software,United Kingdom,28.37233088,0.08,20.862008,0.8823529411764706,2016-12-01
116281,2016,12,ISAT,2005-06-22,INMARSAT                           ,Mobile Telecommunications,Mobile Telecommunications,United Kingdom,3378.429362,0.54,13.841483784005243,2.9402654867256635,2016-12-01
