,year,month,ticker,list_date,company_name,icb_industry,icb_supersector,country_of_incorporation,market_cap,eps,p/e,p/s,datetime
87661,2017,12,IBM,1973-07-19,INTERNATIONAL BUSINESS MACHINES CORPORATION,Technology,Technology,United States,100603.46,11.0,9.919489252612898,85.83405639913231,2017-12-01
87679,2017,12,IQE,2003-09-30,IQE PLC,Technology,Technology,United Kingdom,1035.79,0.03,45.66975308641975,0.20502645502645506,2017-12-01
87823,2017,12,LOOP,2016-08-24,LOOPUP GROUP PLC,Technology,Technology,United Kingdom,149.35,0.05,71.11904761904759,0.4047619047619048,2017-12-01
87930,2017,12,MBT,2006-03-08,MOBILE TORNADO GROUP PLC,Telecommunications,Telecommunications,United Kingdom,17.64,-0.01,-6.509225092250923,0.009335793357933579,2017-12-01
87955,2017,12,MPM,2013-12-18,MPORIUM GROUP PLC,Technology,Technology,United Kingdom,38.09,-0.01,-6.477891156462586,0.003367346938775511,2017-12-01
87957,2017,12,MWE,2006-03-16,MTI WIRELESS EDGE LTD.,Technology,Technology,Israel,13.14,0.02,7.729411764705883,0.4117647058823529,2017-12-01
88062,2017,12,OSI,2016-04-15,OSIRIUM TECHNOLOGIES PLC,Technology,Technology,United Kingdom,16.42,-0.18,-9.122222222222225,0.065,2017-12-01
88092,2017,12,PTY,2013-07-05,PARITY GROUP PLC,Technology,Technology,United Kingdom,9.57,0.02,4.691176470588236,0.8235294117647058,2017-12-01
88104,2017,12,PEB,2014-01-20,PEBBLE BEACH SYSTEMS GROUP PLC,Technology,Technology,United Kingdom,2.09,-0.02,-0.836,0.08,2017-12-01
88106,2017,12,PTRO,2017-12-19,PELATRO PLC,Technology,Technology,United Kingdom,15.93,0.08,8.296875,0.13125,2017-12-01
88110,2017,12,PEN,1998-03-12,PENNANT INTERNATIONAL GROUP PLC,Technology,Technology,United Kingdom,27.84,0.05,15.466666666666665,0.5,2017-12-01
88223,2017,12,QTX,2014-11-06,QUARTIX HOLDINGS PLC,Technology,Technology,United Kingdom,168.87,0.12,29.317708333333336,0.5208333333333334,2017-12-01
88225,2017,12,QXT,2013-05-21,QUIXANT PLC,Technology,Technology,United Kingdom,265.79,0.2,20.13560606060605,1.6515151515151516,2017-12-01
88356,2017,12,SSY,1997-09-25,SCISYS PLC,Technology,Technology,United Kingdom,33.84,0.06,19.448275862068968,1.827586206896552,2017-12-01
88364,2017,12,SDL,1999-12-07,SDL PLC,Technology,Technology,United Kingdom,361.13,0.3,14.68008130081301,3.4878048780487805,2017-12-01
88402,2017,12,SIM,2006-11-02,SIMIGON LTD.,Technology,Technology,Israel,10.02,-0.02,-9.823529411764708,0.08509803921568627,2017-12-01
88426,2017,12,SPE,1996-09-10,SOPHEON PLC,Technology,Technology,United Kingdom,36.0,0.72,5.0,2.9,2017-12-01
88440,2017,12,SPT,1955-07-13,SPIRENT COMMUNICATIONS PLC,Technology,Technology,United Kingdom,623.98,0.08,12.74468954248366,0.7434640522875817,2017-12-01
88462,2017,12,STAR,2013-02-27,STARCOM PLC,Technology,Technology,Jersey,5.89,-0.01,-2.4541666666666666,0.02266666666666667,2017-12-01
88466,2017,12,SOG,2003-06-16,STATPRO GROUP PLC,Technology,Technology,United Kingdom,93.47,0.03,47.20707070707071,0.7424242424242424,2017-12-01
88531,2017,12,TECH,2015-03-16,TECHFINANCIALS INC,Technology,Technology,British Virgin Islands,17.41,-0.01,-23.849315068493148,0.1780821917808219,2017-12-01
88538,2017,12,TCM,2005-04-04,TELIT COMMUNICATIONS PLC,Technology,Technology,United Kingdom,196.04,-0.26,-5.8,2.8846153846153846,2017-12-01
88543,2017,12,TERN,2007-07-27,TERN PLC,Technology,Technology,United Kingdom,3.22,-0.01,-2.251748251748252,-0.004615384615384616,2017-12-01
88583,2017,12,TST,2005-10-24,TOUCHSTAR PLC,Technology,Technology,United Kingdom,4.26,-0.15,-4.369230769230769,1.2107692307692308,2017-12-01
88600,2017,12,TRB,2002-07-08,TRIBAL GROUP PLC,Technology,Technology,United Kingdom,158.8,0.02,40.51020408163266,0.4336734693877551,2017-12-01
88634,2017,12,USY,1970-01-29,UNISYS CORPORATION,Technology,Technology,United States,317.52,-1.82,-3.420814479638009,53.764705882352935,2017-12-01
88697,2017,12,WAND,2012-06-01,WANDISCO PLC,Technology,Technology,Jersey,234.18,-0.36,-15.865853658536587,0.4878048780487805,2017-12-01
88700,2017,12,WTG,2006-12-27,WATCHSTONE GROUP PLC,Technology,Technology,United Kingdom,51.05,-0.09,-12.330917874396135,0.9782608695652174,2017-12-01
88756,2017,12,ZEG,2015-03-19,ZEGONA COMMUNICATIONS PLC,Telecommunications,Telecommunications,United Kingdom,175.45,-0.04,-34.811507936507944,0.0,2017-12-01
92516,2019,1,SMRT,2006-09-06,SMARTSPACE SOFTWARE PLC,Technology,Technology,United Kingdom,20.27,-0.09,-10.23737373737374,0.2868181818181818,2019-01-01
93094,2018,6,BKS,2017-11-27,BEEKS FINANCIAL CLOUD GROUP PLC,Technology,Technology,United Kingdom,36.53,0.03,24.35333333333333,0.1116,2018-06-01
93329,2018,6,CRW,2007-09-13,CRANEWARE PLC,Technology,Technology,United Kingdom,565.24,0.61,34.319368548876746,2.4814814814814814,2018-06-01
93393,2018,6,DOTD,2011-03-29,DOTDIGITAL GROUP PLC,Technology,Technology,United Kingdom,223.03,0.03,25.031425364758697,0.1447811447811448,2018-06-01
93415,2018,6,EYE,2014-04-16,EAGLE EYE SOLUTIONS GROUP PLC,Technology,Technology,United Kingdom,46.05,-0.17,-10.835294117647056,0.56,2018-06-01
93978,2018,6,MNO,2018-05-30,MAESTRANO GROUP PLC,Technology,Technology,United Kingdom,11.13,-0.02,-6.95625,0.01225,2018-06-01
94073,2018,6,MOS,2006-02-15,MOBILE STREAMS PLC,Telecommunications,Telecommunications,United Kingdom,1.99,-0.01,-1.9702970297029705,0.0301980198019802,2018-06-01
94126,2018,6,NET,2010-07-30,NETCALL PLC,Technology,Technology,United Kingdom,105.09,0.01,73.4895104895105,0.15384615384615385,2018-06-01
94150,2018,6,NAR,2013-09-02,NORTHAMBER PLC,Technology,Technology,United Kingdom,8.11,-0.02,-14.482142857142858,2.071428571428572,2018-06-01
94243,2018,6,PCIP,2000-09-29,PCI-PAL PLC,Technology,Technology,United Kingdom,13.4,-0.1,-3.1162790697674416,0.04674418604651162,2018-06-01
94519,2018,6,SEE,2005-12-01,SEEING MACHINES LIMITED,Technology,Technology,Australia,280.05,-0.02,-6.2483266398929045,0.013833110218652387,2018-06-01
98249,2018,7,NANO,2015-05-01,NANOCO GROUP PLC,Technology,Technology,United Kingdom,121.52,-0.02,-21.244755244755247,0.011608391608391607,2018-07-01
98467,2018,7,PHD,2006-06-01,PROACTIS HOLDINGS PLC,Technology,Technology,United Kingdom,93.24,0.05,20.051612903225802,0.5591397849462365,2018-07-01
98697,2018,7,SCT,2015-11-13,SOFTCAT PLC,Technology,Technology,United Kingdom,1599.44,0.28,28.849927849927848,4.025252525252524,2018-07-01
98861,2018,7,TRCS,2008-08-05,TRACSIS PLC,Technology,Technology,United Kingdom,176.92,0.18,35.1031746031746,1.3928571428571428,2018-07-01
100703,2014,4,RDT,2014-04-29,ROSSLYN DATA TECHNOLOGIES PLC      ,Software & Computer Services,Software,United Kingdom,25.63797676,-0.07,-4.5782101357142855,0.025875,2014-04-01
103171,2016,3,ADT,2006-02-15,ADEPT TELECOM                      ,Fixed Line Telecommunications,Fixed Line Telecommunications,United Kingdom,52.93285218,0.12,20.050322795454548,1.318181818181818,2016-03-01
103188,2016,3,AMPH,2014-07-18,AGGREGATED MICRO POWER HLDGS PLC   ,Electricity,Alternative Electricity,United Kingdom,16.05906375,-0.01,-55.376081896551725,0.006896551724137932,2016-03-01
